time,latitude,longitude,depth,mag,magType,id,place
2025-02-27T14:35:44.217Z,-7.3579,128.8575,150.902,4.4,mb,us6000pvtp,"242 km ENE of Lospalos, Timor Leste"
2025-02-27T14:23:48.670Z,18.9783,-65.059,24,3.58,md,pr2025058001,"71 km N of Charlotte Amalie, U.S. Virgin Islands"
2025-02-27T14:13:28.450Z,19.6915,-64.6796,44,3.58,md,pr2025058002,"151 km N of Cruz Bay, U.S. Virgin Islands"
2025-02-27T13:33:23.210Z,19.30383333,-155.2095,6.23,3.16,ml,hv74624297,"15 km S of Volcano, Hawaii"
2025-02-27T13:26:39.271Z,10.919,57.4682,10,4.8,mb,us6000pvth,Carlsberg Ridge
2025-02-27T11:47:56.848Z,-2.2974,120.9811,10,4.4,mb,us6000pvsz,"77 km ENE of Masamba, Indonesia"
2025-02-27T10:23:25.016Z,12.5765,-89.7432,10,4.5,mb,us6000pvsq,"110 km SSW of La Libertad, El Salvador"
2025-02-27T08:27:47.775Z,9.1703,40.2964,10,4.7,mb,us6000pvs4,"25 km NE of Āwash, Ethiopia"
2025-02-27T08:19:58.079Z,51.4747,16.0623,4.398,4.7,mb,us6000pvs3,"3 km SSW of Polkowice, Poland"
2025-02-27T07:38:15.926Z,41.9766,82.6595,10,4.3,mb,us6000pvs1,"36 km NW of Kuqa, China"
2025-02-27T06:45:10.603Z,-56.182,-27.3413,118.128,4.8,mb,us6000pvru,South Sandwich Islands region
2025-02-27T06:43:49.650Z,18.85366667,-67.19366667,10.81,3.11,md,pr71473783,"41 km NNW of San Antonio, Puerto Rico"
2025-02-27T05:58:14.911Z,-31.0444,-177.7329,10,5,mb,us6000pvrl,Kermadec Islands region
2025-02-27T05:31:21.985Z,32.409,-102.059,7.5928,3.4,ml,tx2025eaoq,"34 km WSW of Ackerly, Texas"
2025-02-27T03:36:58.679Z,-0.5148,126.6863,59.471,4.1,mb,us6000pvr2,"88 km W of Labuha, Indonesia"
2025-02-27T03:04:02.097Z,-3.4355,139.8524,67.656,4.3,mb,us6000pvqx,"126 km SW of Abepura, Indonesia"
2025-02-27T01:30:29.850Z,-14.5739,-77.2229,10,4.5,mb,us6000pvqt,"129 km SW of Paracas, Peru"
2025-02-27T01:27:48.410Z,19.2858,-67.3625,26,3.62,md,pr2025058000,"92 km NNW of San Antonio, Puerto Rico"
2025-02-27T01:11:49.388Z,-18.5507,-177.7213,578.419,4.8,mb,us6000pvqp,Fiji region
2025-02-27T01:08:54.836Z,0.3639,124.9706,10,4.7,mb,us6000pvqn,"60 km E of Modisi, Indonesia"
2025-02-27T00:27:23.544Z,-37.218,178.2324,93.87,4.7,mb,us6000pvqi,"42 km N of Hicks Bay, New Zealand"
2025-02-26T23:31:24.340Z,40.35033333,-124.9451667,12.05,3.82,mw,nc75139661,"56 km WNW of Petrolia, CA"
2025-02-26T22:46:24.368Z,-36.1083,-99.7395,10,5.1,mww,us6000pvq6,southeast of Easter Island
2025-02-26T21:31:05.098Z,-9.7605,119.9682,59.115,4.5,mb,us6000pvpm,"34 km WSW of Waingapu, Indonesia"
2025-02-26T21:23:52.310Z,-28.4093,-68.9073,114.274,4.2,mb,us6000pvpj,"78 km WNW of Vinchina, Argentina"
